,index,Opportunities,Contains,Player_ID,Team,Player_Name,Position
0,41243_NYJ,0,0,41243,NYJ,C.J. Mosley,ILB
1,41270_NYJ,1,1,41270,NYJ,Lamarcus Joyner,SS
2,42467_NYJ,1,0,42467,NYJ,Kwon Alexander,OLB
3,44815_NYJ,0,0,44815,NYJ,Solomon Thomas,DT
4,46141_NYJ,0,0,46141,NYJ,Nathan Shepherd,DT
5,46186_NYJ,0,0,46186,NYJ,Jordan Whitehead,SS
6,46211_NYJ,0,0,46211,NYJ,D.J. Reed,CB
7,46255_NYJ,0,0,46255,NYJ,Jake Martin,DE
8,47881_NYJ,0,0,47881,NYJ,Quincy Williams,OLB
9,54469_NYJ,1,1,54469,NYJ,Ahmad Gardner,CB
10,54491_NYJ,1,0,54491,NYJ,Jermaine Johnson,DE
